Phrase ^ Count
and the  ^ 717
and everlasting joy  ^ 2
they shall see  ^ 2
the glory of lebanon  ^ 2
the feeble knees.  ^ 2
not: behold,  ^ 2
shall be there,  ^ 2
that sit upon  ^ 2
of the upper pool  ^ 2
the scribe, and joah,  ^ 2
the son of asaph,  ^ 2
unto the house of the lord,  ^ 2
of the earth: thou  ^ 2
defensed cities  ^ 2
them, thus shall ye say  ^ 2
to make war with  ^ 2
from day even to  ^ 2
even to night  ^ 2
night wilt thou make an end  ^ 2
all my bones:  ^ 2
what shall i say?  ^ 2
of the lord to  ^ 2
to isaiah,  ^ 2
isaiah, saying,  ^ 2
behold, i will bring again  ^ 2
day seven  ^ 2
man, saying,  ^ 2
by night: for  ^ 2
his reward is with  ^ 2
is with him, and his work  ^ 2
him, and his work before  ^ 2
the spirit of the lord,  ^ 2
whom then will ye liken  ^ 2
yea, they shall not  ^ 2
he calleth them all  ^ 2
lift up your eyes  ^ 2
of the ends of the earth,  ^ 2
prepare ye the way  ^ 2
shall be made straight,  ^ 2
every valley  ^ 2
the grass withereth,  ^ 2
withereth, the flower  ^ 2
the flower fadeth:  ^ 2
lift up thy voice  ^ 2
not; i  ^ 2
i will help  ^ 2
of israel. behold,  ^ 2
and the holy one of israel  ^ 2
that the hand  ^ 2
who hath declared  ^ 2
i the lord,  ^ 2
song, and his praise  ^ 2
from the top of the mountains.  ^ 2
for they would not  ^ 2
not walk  ^ 2
a bruised reed  ^ 2
reed shall he not  ^ 2
shall he not break,  ^ 2
flax shall he not  ^ 2
thee for a covenant of the people,  ^ 2
thee, and give thee for a covenant  ^ 2
the lord that created  ^ 2
are my witnesses, saith  ^ 2
whom i have chosen:  ^ 2
and beside me there is no  ^ 2
and there is none that can deliver  ^ 2
neither consider  ^ 2
in the wilderness, and rivers  ^ 2
thou hast not brought  ^ 2
even i, am he  ^ 2
me; for thou  ^ 2
thou art my god.  ^ 2
bread upon  ^ 2
nor understanding  ^ 2
the lord that made  ^ 2
break forth into singing,  ^ 2
the lord hath redeemed  ^ 2
hath redeemed jacob,  ^ 2
the lord, thy redeemer,  ^ 2
all my pleasure:  ^ 2
i am the first,  ^ 2
have made the earth,  ^ 2
else, there is no  ^ 2
speak righteousness,  ^ 2
i said not  ^ 2
i will go  ^ 2
will go before  ^ 2
the gates of brass,  ^ 2
together: who  ^ 2
am god, and there is none  ^ 2
the ends of the earth:  ^ 2
of the earth: for  ^ 2
every tongue  ^ 2
the seed of israel  ^ 2
thee, though thou hast not known  ^ 2
am the lord, and there is none  ^ 2
are gone into captivity.  ^ 2
from the womb:  ^ 2
of jacob, and all  ^ 2
and all the remnant  ^ 2
i am he;  ^ 2
remember this,  ^ 2
o daughter of the chaldeans:  ^ 2
for thou shalt no  ^ 2
in the dust,  ^ 2
in thine heart, i  ^ 2
i am , and none else beside  ^ 2
upon thee; thou shalt not  ^ 2
before thus  ^ 2
call unto  ^ 2
the end of the earth;  ^ 2
there is no peace,  ^ 2
not; yea,  ^ 2
the lord hath comforted  ^ 2
hath comforted his people,  ^ 2
yea, they  ^ 2
thine eyes round about,  ^ 2
who hath begotten  ^ 2
for they shall not  ^ 2
the lord am thy savior  ^ 2
am thy savior and thy redeemer,  ^ 2
and thy redeemer, the mighty one  ^ 2
the mighty one of jacob.  ^ 2
then i said,  ^ 2
my god. and now,  ^ 2
of the lord, neither  ^ 2
therefore my people  ^ 2
that we may see  ^ 2
that it should bring forth grapes,  ^ 2
of the holy one of israel.  ^ 2
of israel. therefore  ^ 2
of the lord kindled  ^ 2
kindled against his people,  ^ 2
without inhabitant.  ^ 2
shall be desolate,  ^ 2
that walketh  ^ 2
that i shall not  ^ 2
god will help  ^ 2
not it  ^ 2
continually every  ^ 2
the dregs of the cup  ^ 2
the isles shall wait  ^ 2
shall be forever,  ^ 2
the salvation of our god.  ^ 2
behold, how  ^ 2
of him that bringeth good tidings, that publisheth  ^ 2
the spoil with  ^ 2
not his mouth.  ^ 2
the wicked, and with  ^ 2
for the mountains  ^ 2
spare not,  ^ 2
of david. behold,  ^ 2
the sabbath from polluting  ^ 2
upon mine altar;  ^ 2
to my holy  ^ 2
of the field, come  ^ 2
is taken away from  ^ 2
man layeth  ^ 2
layeth it to  ^ 2
fail not.  ^ 2
go free,  ^ 2
hand is not  ^ 2
from the west, and  ^ 2
from henceforth and forever.  ^ 2
them, saith the lord;  ^ 2
they conceive mischief,  ^ 2
mischief, and bring forth  ^ 2
their feet run  ^ 2
run to evil,  ^ 2
to shed innocent  ^ 2
the way of peace  ^ 2
without man,  ^ 2
unto another,  ^ 2
for mine eyes  ^ 2
of jacob. for  ^ 2
the darkness shall cover  ^ 2
the lord shall be  ^ 2
a strong nation:  ^ 2
shall be converted unto  ^ 2
to proclaim liberty  ^ 2
the acceptable year  ^ 2
joy shall be  ^ 2
among the people:  ^ 2
of zion, behold,  ^ 2
in the earth. the lord  ^ 2
i that speak  ^ 2
is this that cometh  ^ 2
look down from heaven,  ^ 2
surely they  ^ 2
and worketh righteousness,  ^ 2
neither remember  ^ 2
evil before mine eyes,  ^ 2
i delighted not.  ^ 2
nor come  ^ 2
behold, i create  ^ 2
for the child  ^ 2
that hath not  ^ 2
with and it shall come to pass,  ^ 2
mountain, saith  ^ 2
swine's flesh,  ^ 2
where is the house  ^ 2
peace to  ^ 2
so will i  ^ 2
the lord will come  ^ 2
of fire. for  ^ 2
and the slain of the lord  ^ 2
plead with  ^ 2
the lord, so  ^ 2
to worship before  ^ 2
who hath heard  ^ 2
the son of uzziah,  ^ 2
spoke again  ^ 2
said, i will not  ^ 2
behold, a virgin  ^ 2
butter and honey  ^ 2
to refuse the evil,  ^ 2
the evil, and choose  ^ 2
before the child  ^ 2
days that  ^ 2
even the king  ^ 2
that is in the land  ^ 2
son. if  ^ 2
roll, and write  ^ 2
and write in  ^ 2
saying, say  ^ 2
neither fear  ^ 2
they speak not  ^ 2
and it shall come to pass, that when  ^ 2
the lord to  ^ 2
my father, and my mother,  ^ 2
of the sea, beyond  ^ 2
for wickedness  ^ 2
on the left hand,  ^ 2
from henceforth even forever.  ^ 2
of david, and upon  ^ 2
in that he  ^ 2
also shall the  ^ 2
his ways.  ^ 2
the crown  ^ 2
of life, which  ^ 2
of his own  ^ 2
whom is  ^ 2
wrath: for  ^ 2
for the wrath  ^ 2
the wrath of man  ^ 2
of the word, and  ^ 2
if any be  ^ 2
of all. for  ^ 2
depart in  ^ 2
is dead,  ^ 2
without thy  ^ 2
thee my  ^ 2
devils also  ^ 2
thou believest  ^ 2
one god;  ^ 2
without works  ^ 2
works is  ^ 2
that faith  ^ 2
by works  ^ 2
is dead  ^ 2
to the poor,  ^ 2
in yourselves,  ^ 2
works with  ^ 2
envying and  ^ 2
and strife  ^ 2
whole body.  ^ 2
the ships,  ^ 2
and judgeth  ^ 2
the law: but  ^ 2
and to destroy:  ^ 2
because ye ask  ^ 2
from you.  ^ 2
and purify  ^ 2
mourning, and  ^ 2
mourn, and  ^ 2
and have seen  ^ 2
but let your  ^ 2
but above  ^ 2
nay; lest  ^ 2
church; and  ^ 2
sick, and  ^ 2
years and  ^ 2
and shall eat  ^ 2
as it were fire.  ^ 2
waiteth for the  ^ 2
for it,  ^ 2
hearts: for  ^ 2
the door.  ^ 2
the words of jeremiah  ^ 2
and i said, i  ^ 2
unto me the second time,  ^ 2
me the second time, saying,  ^ 2
the cities of judah.  ^ 2
thy loins, and arise,  ^ 2
the whole land,  ^ 2
am with thee, saith  ^ 2
in the days of josiah  ^ 2
the son of amon  ^ 2
of amon king  ^ 2
not, i  ^ 2
for thou shalt go  ^ 2
ye the word  ^ 2
and the nations shall not  ^ 2
god, he  ^ 2
he hath made the earth  ^ 2
the earth by his power,  ^ 2
by his power, he hath established  ^ 2
he hath established the world  ^ 2
the world by his wisdom,  ^ 2
by his wisdom, and hath stretched out  ^ 2
of the earth; he maketh  ^ 2
lightnings with rain,  ^ 2
with rain, and bringeth forth  ^ 2
and bringeth forth the wind  ^ 2
the wind out of his treasures.  ^ 2
when he uttereth his voice,  ^ 2
his voice, there is a multitude  ^ 2
there is a multitude of waters  ^ 2
and he causeth the vapors to ascend  ^ 2
out of his treasures. every  ^ 2
for his molten image  ^ 2
his molten image is falsehood,  ^ 2
is falsehood, and there is no  ^ 2
man is brutish  ^ 2
every founder  ^ 2
founder is confounded  ^ 2
is confounded by the graven image:  ^ 2
by the graven image: for  ^ 2
breath they  ^ 2
they are vanity,  ^ 2
of errors: in the time  ^ 2
of their visitation they shall perish.  ^ 2
they shall perish. the portion  ^ 2
of his inheritance: the lord  ^ 2
the portion of jacob  ^ 2
of jacob is not  ^ 2
he is the former  ^ 2
of israel: thus  ^ 2
of judah desolate,  ^ 2
the way of man  ^ 2
of man is not  ^ 2
that call  ^ 2
call not  ^ 2
upon the heathen  ^ 2
like unto thee, o lord;  ^ 2
thou art great,  ^ 2
which i made  ^ 2
of judah and inhabitants  ^ 2
unto the gods  ^ 2
for according to the number  ^ 2
according to the number of thy cities  ^ 2
for them: for  ^ 2
therefore pray not  ^ 2
neither lift up  ^ 2
is passed from  ^ 2
fire upon  ^ 2
may be no more  ^ 2
and to the inhabitants  ^ 2
thy vengeance on  ^ 2
on them: for  ^ 2
them: for unto  ^ 2
but, o lord of hosts,  ^ 2
the reins and the heart,  ^ 2
and the heart, let me see  ^ 2
let me see thy vengeance  ^ 2
of jerusalem; and say  ^ 2
that obeyeth  ^ 2
obeyeth not  ^ 2
and say thou unto  ^ 2
saying, obey  ^ 2
your fathers in the day  ^ 2
in the day that i brought them forth  ^ 2
that i brought them forth out of the land  ^ 2
of egypt, even unto  ^ 2
their ear, but walked  ^ 2
righteous art thou,  ^ 2
art thou, o lord,  ^ 2
it to heart.  ^ 2
through the wilderness: for  ^ 2
for the sword  ^ 2
but if they will not  ^ 2
nation, saith  ^ 2
he shall not see  ^ 2
for the wickedness of them that dwell  ^ 2
to serve them, and to worship  ^ 2
to hear my words,  ^ 2
the whole house  ^ 2
every bottle  ^ 2
bottle shall be filled  ^ 2
them this  ^ 2
hath spoken. give  ^ 2
glory to the lord  ^ 2
ye will not hear  ^ 2
thy skirts upon  ^ 2
upon thy face,  ^ 2
go to euphrates,  ^ 2
i will not hear  ^ 2
sent them not,  ^ 2
concerning the prophets  ^ 2
shall be cast out  ^ 2
and behold trouble!  ^ 2
why shouldest thou be  ^ 2
in mine anger, which shall burn  ^ 2
thou knowest:  ^ 2
take me not  ^ 2
why is  ^ 2
for that which  ^ 2
them to be removed into all  ^ 2
the imagination of his evil  ^ 2
that brought up  ^ 2
out of the land of egypt;  ^ 2
the lord, that it shall no  ^ 2
that it shall no more  ^ 2
of egypt; but,  ^ 2
but, the lord  ^ 2
from the land of the north,  ^ 2
are upon all  ^ 2
because they have defiled  ^ 2
o lord, my strength,  ^ 2
neither shalt thou have  ^ 2
and for the beasts of the earth.  ^ 2
of the earth. for  ^ 2
enter not  ^ 2
to sit with  ^ 2
the voice of mirth,  ^ 2
according to his ways, and according to the fruit  ^ 2
not a terror  ^ 2
that enter in by these  ^ 2
of judah, and all  ^ 2
gates: thus  ^ 2
take heed to yourselves,  ^ 2
no burden  ^ 2
of this city  ^ 2
of david, riding  ^ 2
riding in chariots  ^ 2
in chariots and on horses,  ^ 2
and from the south,  ^ 2
from the cities of judah,  ^ 2
on the sabbath day;  ^ 2
departeth from  ^ 2
see when  ^ 2
trusteth in the lord,  ^ 2
by the waters,  ^ 2
that passeth thereby  ^ 2
give heed to  ^ 2
for the law  ^ 2
to the potter's house,  ^ 2
not their iniquity,  ^ 2
i shall speak concerning  ^ 2
concerning a nation,  ^ 2
a nation, and concerning  ^ 2
and concerning a kingdom,  ^ 2
i thought to do  ^ 2
in the sight of the men  ^ 2
city, as  ^ 2
vessel, that  ^ 2
even so will i break  ^ 2
whose roofs  ^ 2
in the court of the lord's  ^ 2
the lord had sent  ^ 2
the people, thus  ^ 2
against it, because  ^ 2
and proclaim there  ^ 2
the valley of the son  ^ 2
whom neither  ^ 2
they nor their fathers  ^ 2
gods, whom  ^ 2
the high places of baal,  ^ 2
to burn their sons  ^ 2
be called tophet,  ^ 2
tophet, nor the valley  ^ 2
nor the valley of the son  ^ 2
of hinnom, but  ^ 2
but the valley  ^ 2
for the fowls of the heaven,  ^ 2
of the heaven, and for the beasts  ^ 2
every one the flesh  ^ 2
at this,  ^ 2
of living waters,  ^ 2
to drink the waters  ^ 2
go and cry  ^ 2
they, their kings,  ^ 2
their kings, their princes,  ^ 2
evil shall come  ^ 2
them, saith the lord.  ^ 2
see ye  ^ 2
and i brought you into  ^ 2
to eat the fruit  ^ 2
said not,  ^ 2
you, saith the lord,  ^ 2
the son of immer  ^ 2
the priest, who  ^ 2
for he hath delivered  ^ 2
saying, a man  ^ 2
and thine eyes shall behold  ^ 2
will i give into the hand  ^ 2
into the hand of their enemies,  ^ 2
shall go into captivity:  ^ 2
and zephaniah the son  ^ 2
of maaseiah the priest,  ^ 2
of babylon, and he shall burn  ^ 2
city for evil,  ^ 2
for evil, and not  ^ 2
lest my fury  ^ 2
like fire, and burn  ^ 2
and burn that none  ^ 2
that none can quench  ^ 2
can quench it , because  ^ 2
it , because of the evil  ^ 2
of the evil of your doings.  ^ 2
the lord; execute  ^ 2
of your doings, saith  ^ 2
will fight against  ^ 2
to the chaldeans  ^ 2
city shall die  ^ 2
by the sword, and by the famine,  ^ 2
round about thus  ^ 2
there this  ^ 2
he shall return no  ^ 2
which went forth  ^ 2
any more: but  ^ 2
in the place whither  ^ 2
eat and drink,  ^ 2
me? saith the lord.  ^ 2
they shall not lament  ^ 2
lament for him, saying , ah  ^ 2
word, and say,  ^ 2
all thy lovers  ^ 2
upon my right  ^ 2
the lord, though  ^ 2
which they know  ^ 2
blood in this  ^ 2
if ye do  ^ 2
by myself, saith the lord,  ^ 2
to his neighbor,  ^ 2
of his holiness. for  ^ 2
the land mourneth;  ^ 2
of their visitation, saith  ^ 2
of hosts concerning  ^ 2
behold, i will feed  ^ 2
of the prophets that prophesy  ^ 2
ye shall have peace;  ^ 2
the head of the wicked.  ^ 2
of his heart: in the latter  ^ 2
in the latter days  ^ 2
days ye shall consider  ^ 2
of the lord shall not  ^ 2
shall not return,  ^ 2
return, until  ^ 2
way, and from the evil  ^ 2
countries whither  ^ 2
i am against the prophets,  ^ 2
the prophets, saith  ^ 2
nor commanded  ^ 2
the burden of the lord,  ^ 2
what hath the lord  ^ 2
because ye say  ^ 2
the burden of the lord;  ^ 2
nor be dismayed,  ^ 2
the lord our righteousness.  ^ 2
shall dwell safely:  ^ 2
safely: and this  ^ 2
which brought up  ^ 2
of the lord, and because  ^ 2
all my bones  ^ 2
of judah, and the princes  ^ 2
the sword, the famine,  ^ 2
the famine, and the pestilence,  ^ 2
basket had very  ^ 2
figs, which  ^ 2
good figs,  ^ 2
be eaten, they are so evil.  ^ 2
will be their god:  ^ 2
me, that i  ^ 2
and the voice of the bride,  ^ 2
whole land  ^ 2
shall be a desolation,  ^ 2
of babylon, and that  ^ 2
all that is written  ^ 2
which jeremiah  ^ 2
and i will bring upon  ^ 2
nations and great  ^ 2
and great kings  ^ 2
kings shall serve  ^ 2
to whom i  ^ 2
the people of judah,  ^ 2
the kings of the land  ^ 2
and all that are in the utmost  ^ 2
that are in the utmost corners,  ^ 2
the kings of the medes,  ^ 2
therefore thou shalt say unto  ^ 2
unto you, rising early  ^ 2
you, rising early and speaking;  ^ 2
the inhabitants of the earth.  ^ 2
even to the ends  ^ 2
shall be raised up from the coasts  ^ 2
from the coasts of the earth.  ^ 2
dung upon  ^ 2
for the days  ^ 2
the lord hath spoiled  ^ 2
hath sent unto  ^ 2
the prophets, rising early  ^ 2
rising early and sending  ^ 2
of babylon, my servant,  ^ 2
i will send and take  ^ 2
of the new gate  ^ 2
the princes and to  ^ 2
and against this  ^ 2
him of the evil  ^ 2
amend your ways  ^ 2
your ways and your doings,  ^ 2
to die: for  ^ 2
the priests and to  ^ 2
all the assembly  ^ 2
micah the morasthite  ^ 2
and jerusalem shall become  ^ 2
heaps, and the mountain  ^ 2
and the mountain of the house  ^ 2
of the house as the high places  ^ 2
house, all  ^ 2
the son of achbor,  ^ 2
with jeremiah,  ^ 2
i purpose  ^ 2
purpose to do  ^ 2
to hearken to  ^ 2
to the words  ^ 2
i sent  ^ 2
and the prophets and all  ^ 2
shall be desolate without  ^ 2
were gathered against  ^ 2
of babylon: for  ^ 2
their neck under the yoke  ^ 2
of babylon, and serve  ^ 2
by the famine, and by the pestilence,  ^ 2
ye shall not serve  ^ 2
therefore hearken not  ^ 2
sent them, saith  ^ 2
them, saith the lord,  ^ 2
of the lord, and in the house  ^ 2
and in the house of the king  ^ 2
and put them upon  ^ 2
the nobles of judah  ^ 2
unto zedekiah  ^ 2
and the beast that  ^ 2
of the reign of zedekiah  ^ 2
the yoke from off  ^ 2
the neck of all  ^ 2
went his way.  ^ 2
rebellion against  ^ 2
the yoke of the king  ^ 2
house, that  ^ 2
and in the ears of all  ^ 2
of all the people;  ^ 2
and to the priests,  ^ 2
and to the prophets,  ^ 2
the places whither  ^ 2
among all the nations  ^ 2
the nations whither  ^ 2
unto them by  ^ 2
the prophets, rising up early  ^ 2
hear, saith  ^ 2
they have not hearkened  ^ 2
which i sent  ^ 2
the son of kolaiah,  ^ 2
zedekiah the son  ^ 2
shemaiah the nehelamite,  ^ 2
zephaniah the son  ^ 2
build ye houses,  ^ 2
ye houses, and dwell  ^ 2
and dwell in them ; and plant  ^ 2
in them ; and plant gardens,  ^ 2
read this  ^ 2
to nebuchadnezzar  ^ 2
and gemariah the son  ^ 2
this people;  ^ 2
sons and daughters;  ^ 2
israel, saith  ^ 2
they shall say no  ^ 2
shall be gathered unto  ^ 2
a voice was heard  ^ 2
backsliding israel  ^ 2
o israel: for,  ^ 2
and thy seed from the land  ^ 2
from the land of their captivity;  ^ 2
of their captivity; and jacob  ^ 2
and jacob shall return,  ^ 2
and none shall make him afraid.  ^ 2
thou not,  ^ 2
o my servant jacob,  ^ 2
a full end of all  ^ 2
thee, yet will i not  ^ 2
i have done these  ^ 2
i will bring again the captivity  ^ 2
shall be established before  ^ 2
that i will bring again the captivity  ^ 2
any more then  ^ 2
rachel weeping  ^ 2
for her children,  ^ 2
confounded, because  ^ 2
turn again to  ^ 2
to these  ^ 2
the lord bless  ^ 2
the lord: but  ^ 2
of hosts is his name:  ^ 2
of israel also  ^ 2
a nation before  ^ 2
before me forever.  ^ 2
gate toward the east,  ^ 2
the lord our god.  ^ 2
save thy people,  ^ 2
the rivers of waters  ^ 2
the evidence of the purchase  ^ 2
of the purchase unto  ^ 2
of neriah, the son  ^ 2
again in this  ^ 2
too hard for  ^ 2
all the ways  ^ 2
of babylon's army  ^ 2
that thou commandedst  ^ 2
neither walked  ^ 2
into the hand of the chaldeans.  ^ 2
and into the hand of nebuchadnezzar  ^ 2
of babylon, and he shall take  ^ 2
and poured out drink offerings  ^ 2
fire on  ^ 2
i commanded them not,  ^ 2
and now therefore  ^ 2
and zedekiah king  ^ 2
with my whole heart  ^ 2
of benjamin, and in the places about  ^ 2
and in the places about jerusalem,  ^ 2
jerusalem, and in the cities  ^ 2
and in the cities of judah,  ^ 2
for i will cause  ^ 2
i will cause their captivity  ^ 2
their captivity to return,  ^ 2
with the chaldeans,  ^ 2
him, saith the lord:  ^ 2
and jeremiah said,  ^ 2
for the right  ^ 2
thee, saying, buy  ^ 2
was the word of the lord.  ^ 2
to me in  ^ 2
of the prison, saying,  ^ 2
man and without  ^ 2
the lord is good;  ^ 2
and in all the cities  ^ 2
and to the house  ^ 2
judgment and righteousness  ^ 2
of the house of israel;  ^ 2
a man before  ^ 2
upon his throne;  ^ 2
city. behold,  ^ 2
and all his army,  ^ 2
jerusalem, and against  ^ 2
when nebuchadnezzar king  ^ 2
should let his manservant,  ^ 2
that none should serve  ^ 2
the people, which  ^ 2
of seven years  ^ 2
every man his brother  ^ 2
which they had made  ^ 2
between the parts  ^ 2
of israel; go  ^ 2
go and speak  ^ 2
unto the fowls of the heaven,  ^ 2
them into the hand of their enemies,  ^ 2
of the king of babylon's  ^ 2
of babylon's army,  ^ 2
and i will make the cities  ^ 2
a desolation without  ^ 2
yet hear  ^ 2
of judah; thus  ^ 2
then jeremiah the prophet  ^ 2
the lord, after that  ^ 2
our father commanded  ^ 2
but obey  ^ 2
and sending them , saying,  ^ 2
of jerusalem all  ^ 2
and jeremiah said  ^ 2
shall not want  ^ 2
jonadab the son  ^ 2
them into the house of the lord,  ^ 2
of the lord, into  ^ 2
of maaseiah the son  ^ 2
of rechab our father  ^ 2
no wine  ^ 2
in the book the words  ^ 2
out of the book  ^ 2
the son of cushi,  ^ 2
sent jehudi  ^ 2
of shelemiah, the son  ^ 2
now it came to pass, when they had heard  ^ 2
the princes unto  ^ 2
burning before  ^ 2
and cast it into  ^ 2
the son of hammelech,  ^ 2
and the words which  ^ 2
at the mouth of jeremiah,  ^ 2
which jehoiakim  ^ 2
another roll,  ^ 2
in it  ^ 2
from the mouth of jeremiah  ^ 2
of jeremiah all  ^ 2
in the lord's house  ^ 2
way: for  ^ 2
and baruch the son  ^ 2
the prophet commanded  ^ 2
with fire. and it came to pass,  ^ 2
and when he was  ^ 2
took jeremiah,  ^ 2
for they had made  ^ 2
the king sent,  ^ 2
moreover jeremiah said  ^ 2
be accepted before  ^ 2
a piece of bread  ^ 2
remained in the court  ^ 2
