Phrase ^ Count
and the lord spoke unto moses, saying,  ^ 72
is in heaven. think not that  ^ 2
heaven. think not that i am come  ^ 2
more than me is not worthy  ^ 2
his life for my sake shall find it.  ^ 2
his life shall lose it: and  ^ 2
that it might be fulfilled which was spoken by isaiah  ^ 2
it might be fulfilled which was spoken by isaiah the  ^ 2
which was spoken by isaiah the prophet,  ^ 2
and adulterous generation seeketh after a sign;  ^ 2
adulterous generation seeketh after a sign; and  ^ 2
generation seeketh after a sign; and there shall no  ^ 2
seeketh after a sign; and there shall no sign  ^ 2
but the sign of the prophet  ^ 2
but he answered and said unto them,  ^ 2
days and three nights in  ^ 2
and three nights in the  ^ 2
three days and three nights  ^ 2
the will of my father which  ^ 2
will of my father which is in  ^ 2
is he that heareth the word, and  ^ 2
another parable put he forth unto them, saying,  ^ 2
parable put he forth unto them, saying, the  ^ 2
put he forth unto them, saying, the kingdom  ^ 2
unto them, saying, the kingdom of heaven  ^ 2
which was spoken by the prophet, saying,  ^ 2
of fire: there shall be wailing and  ^ 2
there shall be wailing and gnashing  ^ 2
shall be wailing and gnashing of teeth.  ^ 2
and gnashing of teeth. then shall the  ^ 2
kingdom of heaven is like unto a man  ^ 2
of heaven is like unto a man that is a householder,  ^ 2
is like unto a man that is a householder, which  ^ 2
and it came to pass, that when jesus had finished  ^ 2
it came to pass, that when jesus had finished these  ^ 2
and the disciples to the multitude.  ^ 2
and he commanded the multitude to sit down  ^ 2
he commanded the multitude to sit down on  ^ 2
the multitude to sit down on the  ^ 2
the disciples to the multitude. and  ^ 2
disciples to the multitude. and they did all  ^ 2
to the multitude. and they did all eat,  ^ 2
multitude. and they did all eat, and  ^ 2
and they did all eat, and were filled:  ^ 2
they did all eat, and were filled: and  ^ 2
eat, and were filled: and they took up  ^ 2
and were filled: and they took up of the  ^ 2
men, beside women and children.  ^ 2
beside women and children. and  ^ 2
then answered peter and said unto him,  ^ 2
and came into the coasts  ^ 2
of the leaven of the pharisees  ^ 2
the leaven of the pharisees and  ^ 2
on earth shall be bound in  ^ 2
earth shall be bound in heaven:  ^ 2
shall be bound in heaven: and  ^ 2
on earth shall be loosed in  ^ 2
earth shall be loosed in heaven.  ^ 2
then said jesus unto his disciples,  ^ 2
verily i say unto you, if ye have  ^ 2
of my father which is in heaven.  ^ 2
father which is in heaven. for  ^ 2
of your father which is in  ^ 2
have patience with me, and i will pay  ^ 2
with me, and i will pay thee  ^ 2
me, and i will pay thee all.  ^ 2
thee: it is better for thee to enter  ^ 2
thee, pluck it out, and cast it from  ^ 2
pluck it out, and cast it from thee:  ^ 2
eye offend thee, pluck it out, and  ^ 2
offend thee, pluck it out, and cast  ^ 2
saying, arise, and take the young child  ^ 2
arise, and take the young child and  ^ 2
and take the young child and his  ^ 2
by jeremiah the prophet, saying,  ^ 2
saying, have mercy on us, o lord, thou son  ^ 2
have mercy on us, o lord, thou son of david.  ^ 2
on us, o lord, thou son of david. and  ^ 2
go ye also into the  ^ 2
the publicans and the harlots  ^ 2
the law and the prophets.  ^ 2
for one is your master,  ^ 2
ye fools and blind: for whether  ^ 2
sweareth by it, and by  ^ 2
so shall also the coming of the  ^ 2
of the son of man be. for  ^ 2
thou hast been faithful over a few things, i will make thee ruler  ^ 2
faithful over a few things, i will make thee ruler over  ^ 2
over a few things, i will make thee ruler over many things:  ^ 2
a few things, i will make thee ruler over many things: enter  ^ 2
i will make thee ruler over many things: enter thou into  ^ 2
over many things: enter thou into the  ^ 2
many things: enter thou into the joy  ^ 2
enter thou into the joy of thy  ^ 2
thou into the joy of thy lord.  ^ 2
his lord said unto him, well done,  ^ 2
into outer darkness: there shall be  ^ 2
outer darkness: there shall be weeping  ^ 2
darkness: there shall be weeping and  ^ 2
for i was hungry, and ye gave me  ^ 2
saying, lord, when saw we thee  ^ 2
lord, when saw we thee hungry,  ^ 2
answer him, saying, lord, when  ^ 2
him, saying, lord, when saw  ^ 2
sick, or in prison, and  ^ 2
and the son of man is betrayed  ^ 2
and prayed, saying, o my father, if  ^ 2
the chief priests and elders of the  ^ 2
into the holy city, and  ^ 2
teaching in their synagogues, and  ^ 2
in their synagogues, and preaching  ^ 2
their synagogues, and preaching the  ^ 2
synagogues, and preaching the gospel  ^ 2
and preaching the gospel of the  ^ 2
preaching the gospel of the kingdom,  ^ 2
the gospel of the kingdom, and  ^ 2
gospel of the kingdom, and healing  ^ 2
for theirs is the kingdom  ^ 2
theirs is the kingdom of heaven.  ^ 2
is the kingdom of heaven. blessed  ^ 2
your father which is in heaven.  ^ 2
ye have heard that it was said by them of old time, thou shalt not  ^ 2
and cast it from thee: for  ^ 2
cast it from thee: for it is profitable  ^ 2
it from thee: for it is profitable for thee  ^ 2
thee: for it is profitable for thee that  ^ 2
for it is profitable for thee that one  ^ 2
it is profitable for thee that one of thy  ^ 2
for thee that one of thy members  ^ 2
that one of thy members should perish,  ^ 2
one of thy members should perish, and  ^ 2
of thy members should perish, and not  ^ 2
members should perish, and not that thy  ^ 2
should perish, and not that thy whole  ^ 2
and not that thy whole body  ^ 2
not that thy whole body should be cast  ^ 2
that thy whole body should be cast into  ^ 2
whole body should be cast into hell.  ^ 2
they have their reward. but thou,  ^ 2
rust doth corrupt, and where thieves  ^ 2
in the synagogues and in  ^ 2
the synagogues and in the  ^ 2
and thy father which seeth in  ^ 2
thy father which seeth in secret  ^ 2
man, which built his house  ^ 2
which built his house upon  ^ 2
these sayings of mine, and doeth  ^ 2
the floods came, and the  ^ 2
floods came, and the winds  ^ 2
came, and the winds blew,  ^ 2
and the winds blew, and  ^ 2
the winds blew, and beat upon  ^ 2
winds blew, and beat upon that  ^ 2
blew, and beat upon that house;  ^ 2
and beat upon that house; and  ^ 2
and the rain descended, and  ^ 2
the rain descended, and the  ^ 2
rain descended, and the floods  ^ 2
descended, and the floods came,  ^ 2
and the floods came, and  ^ 2
and it shall come to pass in that day, saith the lord,  ^ 2
built it, and set up the doors thereof, the locks thereof, and the bars  ^ 2
and to the rulers, and to the rest of the people,  ^ 2
unto the nobles, and to the rulers, and to  ^ 2
the nobles, and to the rulers, and to the rest  ^ 2
year after they were come out of the land of egypt, saying,  ^ 2
the sum of all the congregation of the children of israel,  ^ 2
of the names, by their polls, every male from twenty  ^ 2
by their polls, every male from twenty years  ^ 2
every male from twenty years old  ^ 2
male from twenty years old and upward,  ^ 2
and four thousand and four hundred. of the children  ^ 2
and three thousand and five hundred and fifty.  ^ 2
thousand and five hundred and fifty. but the levites  ^ 2
according to the commandment of the lord by the hand of moses.  ^ 2
of the tribe of judah, caleb the son of jephunneh.  ^ 2
of israel murmured against moses and against  ^ 2
caleb the son of jephunneh, and joshua the son  ^ 2
the son of jephunneh, and joshua the son of nun.  ^ 2
the son of nun, and caleb the son of jephunneh,  ^ 2
of nun, and caleb the son of jephunneh, which were of  ^ 2
and moses spoke unto the children of israel,  ^ 2
and the stranger that cometh nigh shall be put to death. and the lord spoke  ^ 2
that cometh nigh shall be put to death. and the lord spoke unto  ^ 2
this is the ordinance of the law which the lord  ^ 2
so did and the lord spoke unto  ^ 2
thousand and four hundred. all that were numbered  ^ 2
unto and the lord spoke unto moses,  ^ 2
if balak would give me his house full  ^ 2
balak would give me his house full of silver  ^ 2
would give me his house full of silver and gold,  ^ 2
me his house full of silver and gold, i cannot  ^ 2
full of silver and gold, i cannot go beyond  ^ 2
the angel of the lord standing in the way, and his sword  ^ 2
of the lord standing in the way, and his sword drawn  ^ 2
standing in the way, and his sword drawn in his hand:  ^ 2
me here seven altars, and prepare me here  ^ 2
seven altars, and prepare me here seven  ^ 2
and balaam said unto balak, build  ^ 2
said unto balak, build me here  ^ 2
unto balak, build me here seven  ^ 2
balak, build me here seven altars,  ^ 2
build me here seven altars, and prepare  ^ 2
and seven rams. and balak did as  ^ 2
rams. and balak did as balaam  ^ 2
of beor hath said, and the man whose eyes are open  ^ 2
hath said, and the man whose eyes are open hath said:  ^ 2
and he took up his parable, and said, balaam the son  ^ 2
his parable, and said, balaam the son of beor  ^ 2
and said, balaam the son of beor hath said,  ^ 2
balaam the son of beor hath said, and the man  ^ 2
the son of beor hath said, and the man whose eyes  ^ 2
and the man whose eyes are open hath said: he hath said,  ^ 2
the vision of the almighty, falling into a trance , but having his eyes open:  ^ 2
whose eyes are open hath said: he hath said, which heard  ^ 2
are open hath said: he hath said, which heard the words  ^ 2
hath said: he hath said, which heard the words of god,  ^ 2
the son of eleazar, the son of aaron the priest,  ^ 2
the children of israel in the plains of moab by  ^ 2
of israel in the plains of moab by jordan  ^ 2
the son of machir, the son of manasseh, of the families  ^ 2
and set him before eleazar the priest, and before  ^ 2
him before eleazar the priest, and before all  ^ 2
two young bullocks, and one ram,  ^ 2
ram, seven lambs of the first year  ^ 2
unto the lord; two young bullocks, and one  ^ 2
and two tenth deals of flour for a meat offering, mingled  ^ 2
of flour for a meat offering, mingled with oil, for one  ^ 2
saying, command the children of israel, and say  ^ 2
command the children of israel, and say unto  ^ 2
they shall be unto you without blemish: and their meat offering shall be of flour mingled  ^ 2
convocation; ye shall do no servile work:  ^ 2
one ram, seven lambs of the first  ^ 2
without blemish: and their meat offering shall be of flour mingled with oil,  ^ 2
two rams, fourteen lambs of the first  ^ 2
rams, fourteen lambs of the first year  ^ 2
bullocks, two rams, fourteen lambs  ^ 2
lambs of the first year without spot: and their meat offering  ^ 2
of the first year without spot: and their meat offering and their drink offerings  ^ 2
year without spot: and their meat offering and their drink offerings for the bullocks,  ^ 2
without spot: and their meat offering and their drink offerings for the bullocks, for the rams,  ^ 2
and for the lambs, shall be according to their number, after the manner: and one kid  ^ 2
shall be according to their number, after the manner: and one kid of the goats  ^ 2
after the manner: and one kid of the goats for a sin offering;  ^ 2
young bullock, one ram, and seven  ^ 2
bullock, one ram, and seven lambs  ^ 2
one ram, and seven lambs of the first  ^ 2
lambs of the first year without blemish: their meat offering  ^ 2
of the first year without blemish: their meat offering and their drink offerings  ^ 2
of the first year without blemish: and their meat offering and their drink offerings  ^ 2
year without blemish: and their meat offering and their drink offerings for the bullocks,  ^ 2
without blemish: and their meat offering and their drink offerings for the bullocks, for the rams,  ^ 2
of them, according to the number of all the males, from a month old  ^ 2
for the door of the tabernacle of the congregation, and the hangings of the court,  ^ 2
and the pillars of the court round about, and their sockets, and their pins,  ^ 2
unto moses, saying, take the levites  ^ 2
her vows shall stand, and every bond wherewith  ^ 2
wherewith she bound her soul shall stand. but if  ^ 2
she bound her soul shall stand. but if her husband  ^ 2
and moses and eleazar the priest took the gold  ^ 2
and eleazar the priest took the gold of  ^ 2
and the lord spoke unto moses in the plains  ^ 2
spoke unto moses in the plains of moab  ^ 2
unto moses in the plains of moab by  ^ 2
moses in the plains of moab by jordan  ^ 2
in the plains of moab by jordan near jericho,  ^ 2
he may die, and he die, he is a murderer: the murderer  ^ 2
and he die, he is a murderer: the murderer shall surely be put to death.  ^ 2
wherewith he may die, and he die, he is a murderer:  ^ 2
to do the work in the tabernacle of the congregation. this  ^ 2
by the house of their fathers, from thirty years old  ^ 2
under the hand of ithamar the son of aaron the priest.  ^ 2
after their families, and after the house of their fathers, from thirty years  ^ 2
and after the house of their fathers, from thirty years old  ^ 2
moses and aaron did number according to the commandment  ^ 2
that entereth into the service, for the work in the tabernacle of the congregation,  ^ 2
into the service, for the work in the tabernacle of the congregation, even those that were numbered  ^ 2
of jealousy come upon him, and he be jealous of his wife,  ^ 2
come upon him, and he be jealous of his wife, and she  ^ 2
moses, so did the children of israel.  ^ 2
mingled with oil for a meat offering: one spoon  ^ 2
of a hundred and thirty shekels , one silver bowl  ^ 2
charger of the weight of a hundred and thirty shekels , one  ^ 2
of the weight of a hundred and thirty shekels , one silver  ^ 2
me. but i trust in the lord  ^ 2
a wise son maketh a glad father: but a foolish  ^ 2
is a fountain of life, to depart from the snares of death.  ^ 2
the words of a talebearer are as wounds, and they go down  ^ 2
of a talebearer are as wounds, and they go down into the innermost parts  ^ 2
are as wounds, and they go down into the innermost parts of the belly.  ^ 2
a false witness shall not be unpunished, and he that speaketh  ^ 2
witness shall not be unpunished, and he that speaketh lies  ^ 2
yet a little sleep, a little slumber, a little  ^ 2
sleep, a little slumber, a little folding  ^ 2
a little slumber, a little folding of the hands  ^ 2
