Phrase ^ Count
thus saith the lord  ^ 223
the rulers, and to the rest  ^ 2
threescore and seven. the children  ^ 2
drams of gold, and two thousand  ^ 2
that was before the water  ^ 2
the street that was before  ^ 2
day of this month  ^ 2
day of the second month, in the second  ^ 2
year after they were come out of the land  ^ 2
after they were come out of the land of egypt,  ^ 2
of the land of egypt, saying,  ^ 2
the sum of all the congregation  ^ 2
of the names, by their polls, every  ^ 2
by their polls, every male  ^ 2
every male from twenty  ^ 2
male from twenty years  ^ 2
and six thousand and five  ^ 2
and nine thousand and three  ^ 2
and seven thousand and four  ^ 2
and one thousand and five  ^ 2
and four hundred. these  ^ 2
and five hundred and fifty.  ^ 2
hundred and fifty. but the levites  ^ 2
were not numbered among  ^ 2
that there be no wrath  ^ 2
your god: i am the lord  ^ 2
set forward according to their armies: and over  ^ 2
and the standard of the camp of the children  ^ 2
all this people  ^ 2
who shall give us flesh to eat?  ^ 2
from the camp seven  ^ 2
the camp seven days:  ^ 2
these are the names of the men  ^ 2
are the names of the men which  ^ 2
which moses sent  ^ 2
of israel, saying, the land,  ^ 2
of the tribe of judah, caleb  ^ 2
of judah, caleb the son  ^ 2
caleb the son of jephunneh.  ^ 2
that thou lord  ^ 2
the murmurings of the children of israel,  ^ 2
they murmur against  ^ 2
caleb the son of jephunneh,  ^ 2
the son of jephunneh, and joshua  ^ 2
of jephunneh, and joshua the son  ^ 2
the son of nun, and caleb  ^ 2
of nun, and caleb the son  ^ 2
and caleb the son of jephunneh,  ^ 2
the son of jephunneh, which were of  ^ 2
all the children of israel:  ^ 2
of a sweet savor unto the lord;  ^ 2
with and the lord spoke  ^ 2
for a sin offering. and the priest shall make an atonement  ^ 2
in performing a vow, or  ^ 2
tenth deals of flour mingled  ^ 2
that floweth with milk and honey,  ^ 2
said unto korah,  ^ 2
every man his censer, and put  ^ 2
from among this congregation,  ^ 2
this congregation, that i may consume  ^ 2
the god of the spirits of all  ^ 2
of the spirits of all flesh,  ^ 2
unto the congregation, saying,  ^ 2
the tabernacle of korah, dathan,  ^ 2
and they gathered themselves together against moses  ^ 2
and the earth opened her mouth,  ^ 2
eleazar the son of aaron  ^ 2
with thee shall bear the iniquity  ^ 2
with thee, by a statute forever:  ^ 2
the service of the tabernacle of the congregation.  ^ 2
to do the service of the tabernacle  ^ 2
and i, behold, i have taken  ^ 2
from among the children of israel:  ^ 2
that cometh nigh shall be put to death. and the lord  ^ 2
shall be put to death. and the lord spoke  ^ 2
on the third day, and on the seventh  ^ 2
this is the ordinance of the law  ^ 2
is the ordinance of the law which  ^ 2
of the law which the lord  ^ 2
so did and the lord  ^ 2
did and the lord spoke  ^ 2
and his host, and those that were numbered of them, were fifty  ^ 2
and five thousand and six  ^ 2
all that were numbered in the camp  ^ 2
were a hundred thousand and fifty  ^ 2
and his host, and those that were numbered of them, were thirty  ^ 2
hundred. all that were numbered  ^ 2
numbered among the children  ^ 2
and his host, and those that were numbered thereof, were fifty  ^ 2
of israel, even the whole congregation,  ^ 2
which i have given unto the children  ^ 2
aaron of his garments, and put them upon  ^ 2
of his garments, and put them upon eleazar  ^ 2
into mount hor  ^ 2
unto and the lord spoke  ^ 2
and the children of israel set forward,  ^ 2
of israel set forward, and pitched  ^ 2
from thence they removed, and pitched  ^ 2
and pitched in the plains of moab  ^ 2
balak the son of zippor,  ^ 2
behold, there is a people come out  ^ 2
and balaam rose up in the morning,  ^ 2
therefore, i pray thee, curse me  ^ 2
curse me this  ^ 2
balak would give me his house  ^ 2
would give me his house full  ^ 2
me his house full of silver  ^ 2
full of silver and gold,  ^ 2
of silver and gold, i cannot  ^ 2
and gold, i cannot go beyond  ^ 2
if balak would give  ^ 2
and balak the son of zippor  ^ 2
and god came unto  ^ 2
the angel of the lord standing  ^ 2
of the lord standing in the way,  ^ 2
standing in the way, and his sword  ^ 2
in the way, and his sword drawn  ^ 2
and his sword drawn in his hand:  ^ 2
and when the ass saw the angel  ^ 2
saw the angel of the lord,  ^ 2
not that thou  ^ 2
altars, and prepare me here  ^ 2
and prepare me here seven  ^ 2
unto balak, build  ^ 2
balak, build me here  ^ 2
build me here seven  ^ 2
me here seven altars,  ^ 2
seven altars, and prepare  ^ 2
thee to curse mine enemies, and, behold,  ^ 2
and offered a bullock and a ram  ^ 2
a bullock and a ram on every altar.  ^ 2
and seven rams. and balak  ^ 2
rams. and balak did  ^ 2
and balak did as  ^ 2
did as balaam  ^ 2
and the man whose eyes are open  ^ 2
whose eyes are open hath said:  ^ 2
his parable, and said, balaam  ^ 2
and said, balaam the son  ^ 2
the son of beor hath said,  ^ 2
of beor hath said, and the man  ^ 2
hath said, and the man whose eyes  ^ 2
are open hath said: he hath said,  ^ 2
the vision of the almighty, falling  ^ 2
of the almighty, falling into a trance , but having his eyes  ^ 2
falling into a trance , but having his eyes open:  ^ 2
hath said: he hath said, which heard  ^ 2
he hath said, which heard the words  ^ 2
which heard the words of god,  ^ 2
and five hundred. the sons  ^ 2
of hezron, the family of the hezronites:  ^ 2
and they that were numbered of them were forty and five  ^ 2
of them were forty and five thousand  ^ 2
when they offered strange fire  ^ 2
the children of israel in the plains  ^ 2
of israel in the plains of moab  ^ 2
the son of manasseh, of the families  ^ 2
brethren, then ye shall give his inheritance  ^ 2
and set him before eleazar  ^ 2
him before eleazar the priest,  ^ 2
the priest, and before all  ^ 2
before moses, and before  ^ 2
bullocks, and one ram,  ^ 2
young bullocks, and one  ^ 2
and two tenth deals of flour  ^ 2
mingled with oil, for one  ^ 2
they shall be unto you without blemish: and their meat offering  ^ 2
for a bullock, and two tenth deals  ^ 2
unto you without blemish: and their meat offering shall be of flour  ^ 2
throughout the seven lambs: and one  ^ 2
for a sin offering, to make an atonement for  ^ 2
to make an atonement for ye shall offer  ^ 2
and his drink offering. and on the seventh day  ^ 2
no servile work:  ^ 2
one ram, seven  ^ 2
and the other lamb shalt thou offer  ^ 2
lamb shalt thou offer at  ^ 2
for a sweet savor, a sacrifice made by fire  ^ 2
for one lamb, throughout the seven  ^ 2
young bullocks, two  ^ 2
of the first year; they shall be  ^ 2
a burnt offering, a sacrifice made by fire, of a sweet  ^ 2
a sacrifice made by fire, of a sweet savor  ^ 2
without blemish: and their meat offering shall be of flour  ^ 2
lambs: and one kid  ^ 2
fourteen lambs of the first  ^ 2
of the first year without spot:  ^ 2
two rams, fourteen  ^ 2
rams, fourteen lambs  ^ 2
year without spot: and their meat offering  ^ 2
without spot: and their meat offering and their drink offerings  ^ 2
after the manner: and one kid  ^ 2
one ram, and seven  ^ 2
year without blemish: their meat offering  ^ 2
without blemish: their meat offering and their drink offerings  ^ 2
without blemish: and their meat offering and their drink offerings  ^ 2
the word of the lord, as  ^ 2
of them, according to the number of all the males,  ^ 2
for the door of the tabernacle of the congregation,  ^ 2
of the sons of gershon in the tabernacle  ^ 2
of the tabernacle of the congregation, and the hangings  ^ 2
and by the altar round about,  ^ 2
of the congregation, and the hangings of the court,  ^ 2
of the court, which is by  ^ 2
of the house of the father of the families  ^ 2
the son of aaron the priest  ^ 2
of the tabernacle, and the bars thereof, and the pillars  ^ 2
and the pillars of the court round about,  ^ 2
of the court round about, and their sockets,  ^ 2
round about, and their sockets, and their pins,  ^ 2
moses and aaron numbered  ^ 2
and the cattle of the levites instead of  ^ 2
saying, take the levites  ^ 2
the firstborn of the children of israel  ^ 2
according to the word of the lord,  ^ 2
to do the service of the tabernacle.  ^ 2
of israel, to do the service  ^ 2
shall stand, and every bond  ^ 2
and every bond wherewith  ^ 2
wherewith she bound her soul  ^ 2
she bound her soul shall stand.  ^ 2
her vows shall stand, and every  ^ 2
shall stand. but if her husband  ^ 2
wherewith she hath bound her soul,  ^ 2
that have not known  ^ 2
the lord commanded moses;  ^ 2
and of the children of israel's half,  ^ 2
one portion of  ^ 2
portion of fifty,  ^ 2
thousand; of which the lord's tribute  ^ 2
the priest took the gold  ^ 2
took the gold of  ^ 2
and the lord's anger was kindled  ^ 2
the children of gad and the children  ^ 2
the lord hath said unto  ^ 2
of manasseh the son of joseph,  ^ 2
the son of manasseh went  ^ 2
by the red sea.  ^ 2
unto moses in the plains  ^ 2
into the land of canaan;  ^ 2
the land wherein ye  ^ 2
and moses commanded the children  ^ 2
these are they whom the lord  ^ 2
wherewith he may die, and he die,  ^ 2
he may die, and he die, he  ^ 2
and he die, he is a murderer:  ^ 2
the cities which ye shall give  ^ 2
the inheritance of the tribe whereunto  ^ 2
of the tribe whereunto they are received:  ^ 2
of the children of israel shall keep  ^ 2
they shall spread a cloth of blue,  ^ 2
of the sons of kohath in the tabernacle  ^ 2
to do the work in the tabernacle  ^ 2
the work in the tabernacle of the congregation.  ^ 2
fifty years old  ^ 2
years old shalt thou number  ^ 2
in the tabernacle of the congregation. this  ^ 2
is the service of the families of the sons  ^ 2
by the house of their fathers, from thirty  ^ 2
under the hand of ithamar the son  ^ 2
after their families, and after the house of their fathers,  ^ 2
and after the house of their fathers, from thirty  ^ 2
moses and aaron did number  ^ 2
and aaron did number according to  ^ 2
did number according to the commandment  ^ 2
that might do service in the tabernacle of the congregation,  ^ 2
for the work in the tabernacle of the congregation,  ^ 2
of jealousy come upon  ^ 2
come upon him, and he be jealous  ^ 2
upon him, and he be jealous of his wife,  ^ 2
him, and he be jealous of his wife, and she  ^ 2
the bitter water that causeth the curse:  ^ 2
the woman before the lord,  ^ 2
did the children of israel.  ^ 2
of the first year without blemish  ^ 2
all the days of his separation  ^ 2
for a meat offering: one spoon  ^ 2
of a hundred and thirty shekels , one  ^ 2
oxen he gave unto the sons  ^ 2
this was the dedication of the altar,  ^ 2
the lambs of the first year  ^ 2
and thou shalt bring the levites before  ^ 2
before aaron, and before  ^ 2
for all the firstborn  ^ 2
all the firstborn of the children  ^ 2
from among the children of israel,  ^ 2
and at the commandment of the lord  ^ 2
and so it was, when the cloud  ^ 2
always in my  ^ 2
jesus christ for  ^ 2
having the same  ^ 2
god is my  ^ 2
of jesus christ. and  ^ 2
me. but i trust  ^ 2
i trust in the lord  ^ 2
unto death, even  ^ 2
wherefore god also  ^ 2
and rejoice in  ^ 2
which is of the law,  ^ 2
and heard, and  ^ 2
and forsake not the law  ^ 2
not the law of thy mother:  ^ 2
a wise son maketh a glad  ^ 2
son maketh a glad father:  ^ 2
maketh a glad father: but a foolish  ^ 2
but a prating fool shall fall.  ^ 2
but violence covereth the mouth  ^ 2
covereth the mouth of the wicked.  ^ 2
the rich man's wealth is his strong  ^ 2
but righteousness delivereth from death.  ^ 2
but destruction shall be to the workers of iniquity.  ^ 2
heareth not rebuke.  ^ 2
is a fountain of life, to depart  ^ 2
of life, to depart from the snares  ^ 2
to depart from the snares of death.  ^ 2
instruction: but he that regardeth reproof  ^ 2
but the end thereof are the ways of death.  ^ 2
the poor reproacheth his maker:  ^ 2
and before honor is humility.  ^ 2
the words of a talebearer are as wounds,  ^ 2
of a talebearer are as wounds, and they  ^ 2
are as wounds, and they go down  ^ 2
and they go down into the innermost parts  ^ 2
go down into the innermost parts of the belly.  ^ 2
better is the poor that walketh  ^ 2
a false witness shall not  ^ 2
witness shall not be unpunished,  ^ 2
shall not be unpunished, and he that speaketh  ^ 2
be unpunished, and he that speaketh lies  ^ 2
take his garment that  ^ 2
his garment that is surety  ^ 2
and take a pledge of him for a strange woman.  ^ 2
it is better to dwell in  ^ 2
the slothful man saith, there is a lion  ^ 2
a prudent man foreseeth the evil,  ^ 2
but the simple pass on, and are punished.  ^ 2
yet a little sleep, a little  ^ 2
sleep, a little slumber,  ^ 2
a little slumber, a little  ^ 2
slumber, a little folding  ^ 2
a little folding of the hands  ^ 2
folding of the hands to sleep:  ^ 2
of the hands to sleep: so shall thy poverty  ^ 2
to sleep: so shall thy poverty come  ^ 2
and thy want as an armed man.  ^ 2
thou shalt heap coals of fire  ^ 2
there is more hope of a fool than of  ^ 2
a fool according to his folly, lest  ^ 2
so is a parable in the mouth of fools.  ^ 2
write them upon the table  ^ 2
be not wise  ^ 2
of the lord is the beginning of wisdom:  ^ 2
whoso is simple, let him turn  ^ 2
is simple, let him turn in hither:  ^ 2
make a joyful noise unto the lord, all  ^ 2
not thy face from  ^ 2
incline thine ear unto  ^ 2
bless the lord, o my soul.  ^ 2
then they cried unto the lord  ^ 2
to the children of men! for  ^ 2
then they cry unto the lord  ^ 2
who will bring me into the strong  ^ 2
will bring me into the strong city?  ^ 2
me into the strong city? who  ^ 2
city? who will lead  ^ 2
who will lead me into  ^ 2
will lead me into edom?  ^ 2
me into edom? wilt not  ^ 2
give us help from trouble:  ^ 2
us help from trouble: for vain  ^ 2
from trouble: for vain is the help  ^ 2
for vain is the help of man.  ^ 2
is the help of man. through god  ^ 2
of man. through god we shall do  ^ 2
through god we shall do valiantly:  ^ 2
we shall do valiantly: for he  ^ 2
valiantly: for he it is that shall tread down  ^ 2
for he it is that shall tread down our enemies.  ^ 2
awake, psaltery and harp:  ^ 2
psaltery and harp: i myself will awake  ^ 2
and harp: i myself will awake early.  ^ 2
i myself will awake early. i will praise  ^ 2
early. i will praise thee, o lord,  ^ 2
i will praise thee, o lord, among the people:  ^ 2
unto thee among the nations. for thy mercy  ^ 2
for thy mercy is great  ^ 2
the clouds. be thou exalted, o god,  ^ 2
o god, above the heavens:  ^ 2
god hath spoken in his holiness;  ^ 2
hath spoken in his holiness; i will rejoice,  ^ 2
in his holiness; i will rejoice, i will divide  ^ 2
i will rejoice, i will divide shechem,  ^ 2
i will divide shechem, and mete out  ^ 2
shechem, and mete out the valley  ^ 2
and mete out the valley of succoth.  ^ 2
the valley of succoth. gilead  ^ 2
is mine; ephraim also is the strength of mine head;  ^ 2
also is the strength of mine head; judah  ^ 2
of mine head; judah is my lawgiver;  ^ 2
judah is my lawgiver; moab  ^ 2
is my lawgiver; moab is my washpot;  ^ 2
moab is my washpot; over  ^ 2
is my washpot; over edom  ^ 2
over edom will i cast out  ^ 2
and his righteousness endureth forever.  ^ 2
from the rising of the sun unto  ^ 2
of the sun unto the going down  ^ 2
is high above all  ^ 2
at the presence of the lord, at the presence  ^ 2
trust in the lord: he  ^ 2
in the lord: he is their help  ^ 2
which made heaven and earth.  ^ 2
wherefore should the heathen say,  ^ 2
should the heathen say, where  ^ 2
are silver and gold, the work  ^ 2
and gold, the work of men's  ^ 2
the work of men's hands.  ^ 2
of men's hands. they have mouths,  ^ 2
hands. they have mouths, but they speak  ^ 2
so is every one that trusteth  ^ 2
upon the name of the lord. i will pay  ^ 2
of the lord. i will pay my vows  ^ 2
i will pay my vows unto the lord  ^ 2
my vows unto the lord now  ^ 2
unto the lord now in the presence  ^ 2
now in the presence of all  ^ 2
the sorrows of death compassed  ^ 2
for thou hast delivered my soul  ^ 2
the right hand of the lord doeth  ^ 2
of the lord doeth valiantly.  ^ 2
now say, that  ^ 2
it is better to trust in the lord  ^ 2
to trust in the lord than to put confidence  ^ 2
every false way.  ^ 2
upon sheminith, a psalm  ^ 2
sheminith, a psalm of david.  ^ 2
if it had not been the lord who was  ^ 2
israel. a song of degrees.  ^ 2
the lord hath done great things  ^ 2
hath done great things for  ^ 2
let israel hope in  ^ 2
forevermore. for the lord  ^ 2
ye the lord, all  ^ 2
ye the lord. praise ye  ^ 2
kings: for his mercy  ^ 2
endureth forever. o give thanks unto the god  ^ 2
his mercy endureth forever:   ^ 2
a psalm of david. o lord,  ^ 2
there is none that doeth good.  ^ 2
a psalm of david. the fool hath said  ^ 2
the fool hath said in his heart,  ^ 2
hath said in his heart, there is no  ^ 2
in his heart, there is no god.  ^ 2
looked down from heaven upon  ^ 2
from heaven upon the children  ^ 2
upon the children of men,  ^ 2
the children of men, to see  ^ 2
of men, to see if there were  ^ 2
to see if there were any that did understand,  ^ 2
there is none that doeth good,  ^ 2
of iniquity no knowledge?  ^ 2
no knowledge? who eat up  ^ 2
knowledge? who eat up my people  ^ 2
who eat up my people as they eat  ^ 2
of his people, jacob shall rejoice,  ^ 2
jacob shall rejoice, and israel  ^ 2
shall rejoice, and israel shall be glad.  ^ 2
oh that the salvation of israel  ^ 2
the salvation of israel were come out of zion!  ^ 2
bringeth back the captivity of his people,  ^ 2
the captivity of his people, jacob  ^ 2
hear the voice of my supplications,  ^ 2
a psalm of david. lord,  ^ 2
i cried unto the lord  ^ 2
for my soul. i cried unto  ^ 2
thee, o lord: i said, thou  ^ 2
speaketh vanity, and their right hand  ^ 2
vanity, and their right hand is a right hand  ^ 2
whose mouth speaketh  ^ 2
mouth speaketh vanity,  ^ 2
thy name forever and ever.  ^ 2
let them praise the name of the lord:  ^ 2
the name of the lord: for  ^ 2
hail stones and coals of fire.  ^ 2
forever. a psalm of david.  ^ 2
and the fullness thereof; the world, and they that dwell  ^ 2
of glory shall come in. who  ^ 2
king of glory? the lord  ^ 2
lift up your heads, o ye gates;  ^ 2
ye everlasting doors; and the king  ^ 2
doors; and the king of glory  ^ 2
and the king of glory shall come in.  ^ 2
unto thee, o lord, do i lift up  ^ 2
thee, o lord, do i lift up my soul.  ^ 2
of david, when he fled from  ^ 2
in heart. rejoice in the lord,  ^ 2
blessed is the man that trusteth  ^ 2
that seek after my soul: let them be turned  ^ 2
fear of god before  ^ 2
o lord, rebuke me not  ^ 2
