Phrase ^ Count
thus saith the lord god;  ^ 95
have ye not read in the  ^ 2
say the scribes that  ^ 2
heard him gladly. and  ^ 2
unto them in his doctrine,  ^ 2
widows' houses, and for a pretence  ^ 2
saying, they will reverence my son.  ^ 2
they will reverence my son. but  ^ 2
this is the heir;  ^ 2
is the heir; come,  ^ 2
the heir; come, let us kill  ^ 2
heir; come, let us kill him,  ^ 2
come, let us kill him, and  ^ 2
among themselves, this is  ^ 2
themselves, this is the  ^ 2
the lord of the vineyard  ^ 2
it is not ye that speak,  ^ 2
not ye that speak, but  ^ 2
ye that speak, but the  ^ 2
shall rise up against their parents, and  ^ 2
the brother to death, and  ^ 2
to death, and the father  ^ 2
but he that shall endure unto the end,  ^ 2
he that shall endure unto the end, the same  ^ 2
unto the end, the same shall be saved.  ^ 2
hated of all men for my name's sake:  ^ 2
of all men for my name's sake: but  ^ 2
spoken of by daniel the  ^ 2
abomination of desolation, spoken of by  ^ 2
of desolation, spoken of by daniel  ^ 2
any thing out of his house:  ^ 2
and to them that give suck in those  ^ 2
to them that give suck in those days!  ^ 2
pray ye that your flight  ^ 2
ye that your flight be  ^ 2
your flight be not  ^ 2
then if any man shall say  ^ 2
and the moon shall not  ^ 2
the moon shall not give  ^ 2
moon shall not give her  ^ 2
shall not give her light,  ^ 2
give her light, and  ^ 2
her light, and the  ^ 2
light, and the stars  ^ 2
and the stars of heaven  ^ 2
his elect from the  ^ 2
elect from the four  ^ 2
from the four winds,  ^ 2
the four winds, from  ^ 2
branch is yet tender,  ^ 2
is yet tender, and  ^ 2
yet tender, and putteth forth  ^ 2
tender, and putteth forth leaves,  ^ 2
and putteth forth leaves, ye know  ^ 2
putteth forth leaves, ye know that  ^ 2
leaves, ye know that summer  ^ 2
now learn a parable of  ^ 2
learn a parable of the  ^ 2
a parable of the fig tree;  ^ 2
of the fig tree; when  ^ 2
peter and james and  ^ 2
shall not be thrown down. and as he  ^ 2
be thrown down. and as he sat  ^ 2
and as he sat upon  ^ 2
as he sat upon the  ^ 2
sat upon the mount  ^ 2
shall not pass, till all  ^ 2
pass, till all these things  ^ 2
even at the doors. verily i say  ^ 2
the doors. verily i say unto you,  ^ 2
this generation shall not pass,  ^ 2
generation shall not pass, till  ^ 2
words shall not pass away. but  ^ 2
knoweth no man, no, not the  ^ 2
no man, no, not the angels  ^ 2
the son, but the  ^ 2
shall not pass away. but of  ^ 2
pass away. but of that  ^ 2
but of that day  ^ 2
of that day and  ^ 2
for ye know not when  ^ 2
ye know not when the  ^ 2
tell us, when shall these things  ^ 2
us, when shall these things be?  ^ 2
when shall these things be? and  ^ 2
shall these things be? and what  ^ 2
be? and what shall be the  ^ 2
and what shall be the sign  ^ 2
against kingdom: and there shall be  ^ 2
for nation shall rise against  ^ 2
and kings for my sake, for  ^ 2
kings for my sake, for a testimony  ^ 2
went unto the chief priests,  ^ 2
came into the city,  ^ 2
said, verily i say unto you,  ^ 2
the twelve. and as they  ^ 2
but they said, not on  ^ 2
they said, not on the  ^ 2
not on the feast  ^ 2
on the feast day, lest  ^ 2
the feast day, lest there be  ^ 2
feast day, lest there be an uproar  ^ 2
it i? and he answered  ^ 2
of him: but woe  ^ 2
but woe to that man  ^ 2
woe to that man by  ^ 2
to that man by whom  ^ 2
by whom the son  ^ 2
whom the son of man  ^ 2
the son of man is betrayed!  ^ 2
this is my body.  ^ 2
is my body. and  ^ 2
my body. and he took  ^ 2
body. and he took the  ^ 2
and he took the cup,  ^ 2
blood of the new  ^ 2
of the new testament,  ^ 2
the new testament, which is shed  ^ 2
new testament, which is shed for  ^ 2
and he said unto them, this  ^ 2
this is my blood  ^ 2
is my blood of  ^ 2
my blood of the  ^ 2
of the vine, until that  ^ 2
vine, until that day  ^ 2
and when they had sung a hymn, they went out into  ^ 2
when they had sung a hymn, they went out into the  ^ 2
they went out into the mount  ^ 2
into the mount of olives.  ^ 2
because of me this night:  ^ 2
this night: for it is written,  ^ 2
night: for it is written, i will smite  ^ 2
for it is written, i will smite the  ^ 2
it is written, i will smite the shepherd,  ^ 2
i will smite the shepherd, and  ^ 2
the shepherd, and the  ^ 2
shepherd, and the sheep  ^ 2
i will go before you into galilee.  ^ 2
crow twice, thou shalt deny me  ^ 2
twice, thou shalt deny me thrice.  ^ 2
verily i say unto thee, that  ^ 2
disciples, sit ye here, while  ^ 2
death: tarry ye here, and  ^ 2
on the ground, and  ^ 2
but the flesh is weak.  ^ 2
unto them, sleep on now, and  ^ 2
son of man is betrayed into  ^ 2
and saith unto them, sleep on  ^ 2
saith unto them, sleep on now,  ^ 2
and with him a great  ^ 2
with him a great multitude  ^ 2
him a great multitude with  ^ 2
a great multitude with swords  ^ 2
multitude with swords and  ^ 2
with swords and staves,  ^ 2
swords and staves, from  ^ 2
and staves, from the  ^ 2
staves, from the chief priests  ^ 2
saying, whomsoever i shall kiss, that same  ^ 2
whomsoever i shall kiss, that same is  ^ 2
master; and kissed him.  ^ 2
forsook him, and fled. and  ^ 2
answerest thou nothing? what is it which these  ^ 2
thou nothing? what is it which these witness against  ^ 2
what is it which these witness against thee?  ^ 2
is it which these witness against thee? but  ^ 2
the son of man sitting  ^ 2
son of man sitting on  ^ 2
of man sitting on the right hand  ^ 2
sitting on the right hand of power,  ^ 2
on the right hand of power, and  ^ 2
the right hand of power, and coming  ^ 2
of power, and coming in  ^ 2
and coming in the  ^ 2
in the clouds of heaven.  ^ 2
the clouds of heaven. then  ^ 2
clouds of heaven. then the  ^ 2
of heaven. then the high priest  ^ 2
then the high priest rent  ^ 2
the high priest rent his  ^ 2
high priest rent his clothes,  ^ 2
me. for ye have the  ^ 2
for ye have the poor  ^ 2
and to swear, saying, i know not  ^ 2
the cock crew. and peter  ^ 2
verily i say unto you, wheresoever  ^ 2
i say unto you, wheresoever this  ^ 2
unto you, wheresoever this gospel  ^ 2
wheresoever this gospel shall be preached  ^ 2
king of the jews? for  ^ 2
why, what evil hath he done?  ^ 2
to bear his cross.  ^ 2
bear his cross. and  ^ 2
thou that destroyest the temple, and  ^ 2
the temple, and buildest  ^ 2
temple, and buildest it in  ^ 2
and buildest it in three  ^ 2
buildest it in three days,  ^ 2
him, wagging their heads,  ^ 2
wagging their heads, and  ^ 2
their heads, and saying,  ^ 2
it in three days, save  ^ 2
come down from the cross.  ^ 2
from the cross.   ^ 2
he saved others; himself he cannot  ^ 2
others; himself he cannot save.  ^ 2
the cross.  likewise  ^ 2
cross.  likewise also  ^ 2
 likewise also the  ^ 2
likewise also the chief priests  ^ 2
also the chief priests mocking  ^ 2
my god, my god,  ^ 2
god, my god, why  ^ 2
my god, why hast thou forsaken  ^ 2
god, why hast thou forsaken me?  ^ 2
ninth hour jesus cried  ^ 2
hour jesus cried with a loud  ^ 2
let us see whether elijah will come  ^ 2
in twain from the top  ^ 2
twain from the top to  ^ 2
of the temple was rent in  ^ 2
temple was rent in twain  ^ 2
was rent in twain from  ^ 2
mary the mother of james  ^ 2
the stone from the  ^ 2
and he saith unto them,  ^ 2
of man hath power on  ^ 2
hath power on earth  ^ 2
power on earth to forgive  ^ 2
on earth to forgive sins,  ^ 2
and take up thy bed,  ^ 2
many publicans and sinners  ^ 2
and they followed him. and  ^ 2
disciples of john and of  ^ 2
of john and of the  ^ 2
and of the pharisees  ^ 2
but thy disciples fast  ^ 2
thy disciples fast not?  ^ 2
disciples fast not? and  ^ 2
fast not? and jesus  ^ 2
not? and jesus said  ^ 2
jesus said unto them, can  ^ 2
said unto them, can the  ^ 2
unto them, can the children  ^ 2
can the children of the  ^ 2
from them, and then  ^ 2
and the rent is made worse.  ^ 2
old bottles: else the  ^ 2
wine into old bottles:  ^ 2
into old bottles: else  ^ 2
read what david did,  ^ 2
and did eat the shewbread,  ^ 2
did eat the shewbread, which  ^ 2
thy sins be forgiven thee.  ^ 2
thy sins be forgiven thee; or  ^ 2
thee; or to say, arise,  ^ 2
or to say, arise, and  ^ 2
charged them that they should not  ^ 2
them that they should not make  ^ 2
that they should not make him  ^ 2
and john the brother  ^ 2
simon the canaanite, and  ^ 2
the canaanite, and judas  ^ 2
canaanite, and judas iscariot,  ^ 2
be divided against itself, that  ^ 2
cannot stand. and if  ^ 2
and then he will spoil his  ^ 2
then he will spoil his house.  ^ 2
enter into a strong man's house,  ^ 2
verily i say unto you, all  ^ 2
that they might accuse him. and  ^ 2
unto him, behold, thy mother  ^ 2
behold, thy mother and  ^ 2
and said, behold my mother  ^ 2
behold my mother and  ^ 2
mother and my brethren!  ^ 2
and my brethren! for  ^ 2
the same is my brother,  ^ 2
is my brother, and  ^ 2
my brethren! for whosoever  ^ 2
brethren! for whosoever shall do  ^ 2
for whosoever shall do the  ^ 2
whosoever shall do the will  ^ 2
against him, how they might destroy  ^ 2
him, how they might destroy him.  ^ 2
how they might destroy him. but  ^ 2
to hear, let him hear. and when  ^ 2
and these are they which are sown  ^ 2
choke the word, and  ^ 2
of this world, and the  ^ 2
world, and the deceitfulness  ^ 2
and the deceitfulness of riches,  ^ 2
on the land. and  ^ 2
some sixty, and some  ^ 2
sixty, and some a hundred.  ^ 2
and some a hundred. and  ^ 2
some a hundred. and he said  ^ 2
a hundred. and he said unto them,  ^ 2
if any man have ears to hear,  ^ 2
have ears to hear, let him hear.  ^ 2
with what measure ye mete,  ^ 2
even that which he hath. and  ^ 2
without a parable spake he not  ^ 2
a parable spake he not unto them:  ^ 2
unto the other side. and  ^ 2
and there was a great calm.  ^ 2
the way side, and the  ^ 2
way side, and the fowls  ^ 2
by the way side, and  ^ 2
what manner of man is this, that  ^ 2
is this, that even  ^ 2
this, that even the  ^ 2
and the sea obey  ^ 2
into the country of the  ^ 2
the devils besought him,  ^ 2
devils besought him, saying,  ^ 2
a steep place into the sea,  ^ 2
in the sea. and  ^ 2
out of their coasts. and  ^ 2
is not dead, but sleepeth. and  ^ 2
but sleepeth. and they laughed him to scorn.  ^ 2
sleepeth. and they laughed him to scorn. but  ^ 2
and came into his own  ^ 2
verily i say unto you, it shall be  ^ 2
and gomorrah in the day  ^ 2
gomorrah in the day of judgment,  ^ 2
the day of judgment, than for that  ^ 2
of judgment, than for that city.  ^ 2
and whosoever shall not receive  ^ 2
whosoever shall not receive you,  ^ 2
shall not receive you, nor  ^ 2
receive you, nor hear  ^ 2
and therefore mighty works do show forth  ^ 2
therefore mighty works do show forth themselves in  ^ 2
mighty works do show forth themselves in him.  ^ 2
others said, that it is  ^ 2
prison for herodias' sake, his brother  ^ 2
for herodias' sake, his brother philip's  ^ 2
the head of john the  ^ 2
head of john the baptist.  ^ 2
of john the baptist. and  ^ 2
and was moved with compassion toward them,  ^ 2
this is a desert place, and  ^ 2
his disciples came unto him,  ^ 2
saith unto them, how many loaves  ^ 2
unto them, how many loaves have  ^ 2
in his own country, and  ^ 2
and in his own house.  ^ 2
jesus said unto them, a prophet  ^ 2
said unto them, a prophet is  ^ 2
unto them, a prophet is not  ^ 2
a prophet is not without honor,  ^ 2
his disciples to get into  ^ 2
walking upon the sea,  ^ 2
upon the sea, and  ^ 2
for the wind was  ^ 2
in his own house. and  ^ 2
it is i; be not afraid. and  ^ 2
they came into the land  ^ 2
of his garment: and as many as  ^ 2
garment: and as many as touched  ^ 2
father or mother, let him die  ^ 2
by whatsoever thou mightest be profited by me;  ^ 2
thou mightest be profited by me; and  ^ 2
and when he was entered into  ^ 2
into the belly, and  ^ 2
it is not meet to take  ^ 2
not meet to take the  ^ 2
meet to take the children's  ^ 2
to take the children's bread,  ^ 2
the children's bread, and  ^ 2
children's bread, and to cast  ^ 2
lord: yet the dogs  ^ 2
the coasts of tyre and  ^ 2
and he charged them that  ^ 2
me, teaching for doctrines the commandments  ^ 2
teaching for doctrines the commandments of men.  ^ 2
jesus called his disciples  ^ 2
how many baskets full of fragments  ^ 2
baskets full of fragments took ye up?  ^ 2
three days, and have  ^ 2
days, and have nothing  ^ 2
and have nothing to eat:  ^ 2
i have compassion on the multitude,  ^ 2
on the multitude, because  ^ 2
they said, seven. and  ^ 2
whom do men say that i  ^ 2
have nothing to eat: and  ^ 2
them that they should tell no man  ^ 2
and scribes, and be killed,  ^ 2
scribes, and be killed, and  ^ 2
and after three days  ^ 2
took him, and began to rebuke  ^ 2
peter took him, and began  ^ 2
for thou savorest not the things  ^ 2
thou savorest not the things that be of god,  ^ 2
not the things that be of god, but  ^ 2
and take up his cross,  ^ 2
take up his cross, and  ^ 2
his cross, and follow  ^ 2
cross, and follow me.  ^ 2
world, and lose his own  ^ 2
and lose his own soul?  ^ 2
if he shall gain the whole  ^ 2
he shall gain the whole world,  ^ 2
lose his own soul? or  ^ 2
his own soul? or what  ^ 2
soul? or what shall a man  ^ 2
or what shall a man give  ^ 2
what shall a man give in exchange  ^ 2
shall a man give in exchange for his  ^ 2
give in exchange for his soul?  ^ 2
in the glory of his  ^ 2
the glory of his father  ^ 2
glory of his father with  ^ 2
how many loaves have ye? and  ^ 2
loaves have ye? and they  ^ 2
have ye? and they said,  ^ 2
and he took the seven  ^ 2
and they that had eaten were about  ^ 2
scribes that elijah must  ^ 2
that elijah must first  ^ 2
the scribes that elijah  ^ 2
i say unto you, that elijah  ^ 2
how long shall i be with you?  ^ 2
shall i be with you? how long  ^ 2
with you? how long shall i suffer  ^ 2
you? how long shall i suffer you?  ^ 2
how long shall i suffer you? bring  ^ 2
shall i suffer you? bring him  ^ 2
and after six days  ^ 2
after six days jesus  ^ 2
six days jesus taketh  ^ 2
jesus said unto him, if  ^ 2
why could not we  ^ 2
could not we cast him out?  ^ 2
when he was come into the house,  ^ 2
not we cast him out? and  ^ 2
but by prayer and  ^ 2
by prayer and fasting.  ^ 2
prayer and fasting. and  ^ 2
unto them, the son of man  ^ 2
said unto them, the son  ^ 2
lose his reward. and  ^ 2
cut it off: it is better for thee  ^ 2
into hell, into the  ^ 2
hell, into the fire  ^ 2
into the fire that never shall be quenched:  ^ 2
offend thee, cut it off: it is  ^ 2
thee, cut it off: it is better  ^ 2
the fire that never shall be quenched: where  ^ 2
fire that never shall be quenched: where their  ^ 2
that never shall be quenched: where their worm  ^ 2
fire is not quenched. and  ^ 2
is not quenched. and if  ^ 2
two feet to be cast into  ^ 2
thy foot offend thee,  ^ 2
two eyes to be cast into  ^ 2
eyes to be cast into hell  ^ 2
and if thine eye  ^ 2
if thine eye offend  ^ 2
thine eye offend thee,  ^ 2
for moses, and one for elijah.  ^ 2
a voice came out of the  ^ 2
and a voice came out of  ^ 2
till the son of man  ^ 2
and as they came down from  ^ 2
as they came down from the  ^ 2
came down from the mountain,  ^ 2
begat jacob; and jacob  ^ 2
jacob; and jacob begat  ^ 2
are fourteen generations; and from  ^ 2
which was spoken of the  ^ 2
was spoken of the lord  ^ 2
of the lord by  ^ 2
the lord by the  ^ 2
lord by the prophet,  ^ 2
this was done, that it might be fulfilled  ^ 2
it might be fulfilled which was spoken of  ^ 2
all manner of sickness and all manner  ^ 2
peter, and andrew his  ^ 2
before my father which  ^ 2
which is in heaven. think  ^ 2
is in heaven. think not  ^ 2
heaven. think not that  ^ 2
think not that i am come  ^ 2
more than me is not  ^ 2
than me is not worthy  ^ 2
is not worthy of me.  ^ 2
his life for my sake shall find  ^ 2
life for my sake shall find it.  ^ 2
life shall lose it: and  ^ 2
the lost sheep of the house of israel.  ^ 2
for if the mighty works,  ^ 2
at that time jesus  ^ 2
and great multitudes followed  ^ 2
it might be fulfilled which was spoken by isaiah  ^ 2
which was spoken by isaiah the  ^ 2
when the pharisees saw it, they said  ^ 2
